" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"TID_OFFER_ENDS_IN","OFFER ENDS IN:","L'OFFRE SE TERMINE DANS :","ANGEBOT ENDET IN:","FIN DE LA OFERTA:","L'OFFERTA TERMINA TRA:","AANBIEDING EINDIGT OVER:","TILBUDET AVSLUTTES OM:","TEKLİFİN BİTMESİNE:","提供終了まで：","상품 판매 종료까지 남은 시간:","ЗАКОНЧИТСЯ ЧЕРЕЗ:","ينتهي العرض خلال:","OFERTA ACABA EM:","特惠活动剩余时间：","特惠活動剩餘時間：","اتمام پیشنهاد بعد از:","PENAWARAN BERAKHIR DALAM:","TAWARAN TAMAT DALAM:"
"TID_STACK_OF","Stack of","Jeu de","Stapel","Montón de","Pila di","Stapel","Kortstokk med","Yığın","パック：","스택:","Колода","مجموعة أوراق من","Pilha de","卡包","卡包","بسته","Setumpuk","Tindanan"
"TID_CARD_RELEASE_OFFER","Card Release Offer!","Offre spéciale nouvelle carte !","Angebot: Neue Karte!","¡Oferta de carta nueva!","Nuova carta in offerta!","Aanbieding uitgebrachte kaart!","Kortlanseringstilbud!","Kart Çıkış Teklifi!","新カードセール！","카드 발매 특가!","Предлагаем новые карты!","عرض إصدار بطاقة!","Oferta de carta nova!","新卡特惠活动！","新卡特惠活動！","پیشنهاد آزاد کردن کارت!","Penawaran Rilis Kartu!","Tawaran Keluaran Kad!"
"TID_YOU_HAVE_ALREADY_BOUGHT_STARTER_PACK","You have purchased this Starter Pack already!","Vous avez déjà acheté ce pack de démarrage !","Du hast dieses Starterpaket bereits gekauft!","¡Ya has comprado este lote de principiante!","Hai già acquistato questo pacchetto principiante!","Je hebt dit starterspakket al gekocht!","Du har allerede kjøpt denne startpakken!","Bu Başlangıç Paketini zaten satın aldın!","このスターターパックは購入済みです！","이미 초보자 팩을 구매했습니다!","У тебя уже есть начальный пакет!","قمت بشراء مجموعة البدء هذه بالفعل!","Você já comprou este pacote de iniciante!","您已经购买过该新手礼包！","您已經購買過該入門組合包！","قبلاً این بسته مقدماتی رو خریدی!","Paket Pemula ini sudah kamu beli!","Anda sudah membeli Pek Permulaan ini!"
"TID_CHALLENGE_AT_X_WINS","at <VALUE> wins","à <VALUE> victoires","nach <VALUE> Siegen","tras <VALUE> victorias","con <VALUE> vittorie","bij <VALUE> overwinningen","etter <VALUE> seire","<VALUE>. galibiyette","<VALUE>勝","<VALUE>승 시","за победы: <VALUE>.","عند <VALUE> من الانتصارات","com <VALUE> vitórias","胜场<VALUE>","勝場<VALUE>","با<VALUE>پیروزشد","pada <VALUE> kemenangan","pada <VALUE> kemenangan"
"TID_SHOP_STARTER_PACK_ARENA_3","Starter Pack Arena 3","Pack de démarrage Arène 3","Starterpaket - Arena 3","Lote de principiante de arena 3","Pacchetto principiante arena 3","Starterspakket arena 3","Startpakke for arena 3","3. Arena Başlangıç Paketi","スターターパック・アリーナ3","아레나 3 초보자 팩","Начальный Пакет: Арена 3","مجموعة بدء الساحة 3","Pacote de Iniciante Arena 3","3阶竞技场新手礼包","3階競技場入門組合包","میدان نبرد بسته مقدماتی 3","Paket Pemula Arena 3","Pek Permulaan Arena 3"
"TID_SHOP_STARTER_PACK_ARENA_4","Starter Pack Arena 4","Pack de démarrage Arène 4","Starterpaket - Arena 4","Lote de principiante de arena 4","Pacchetto principiante arena 4","Starterspakket arena 4","Startpakke for arena 4","4. Arena Başlangıç Paketi","スターターパック・アリーナ4","아레나 4 초보자 팩","Начальный Пакет: Арена 4","مجموعة بدء الساحة 4","Pacote de Iniciante Arena 4","4阶竞技场新手礼包","4階競技場入門組合包","میدان نبرد بسته مقدماتی 4","Paket Pemula Arena 4","Pek Permulaan Arena 4"
"TID_SHOP_STARTER_PACK_ARENA_5","Starter Pack Arena 5","Pack de démarrage Arène 5","Starterpaket - Arena 5","Lote de principiante de arena 5","Pacchetto principiante arena 5","Starterspakket arena 5","Startpakke for arena 5","5. Arena Başlangıç Paketi","スターターパック・アリーナ5","아레나 5 초보자 팩","Начальный Пакет: Арена 5","مجموعة بدء الساحة 5","Pacote de Iniciante Arena 5","5阶竞技场新手礼包","5階競技場入門組合包","میدان نبرد بسته مقدماتی 5","Paket Pemula Arena 5","Pek Permulaan Arena 5"
"TID_SHOP_STARTER_PACK_ARENA_6","Starter Pack Arena 6","Pack de démarrage Arène 6","Starterpaket - Arena 6","Lote de principiante de arena 6","Pacchetto principiante arena 6","Starterspakket arena 6","Startpakke for arena 6","6. Arena Başlangıç Paketi","スターターパック・アリーナ6","아레나 6 초보자 팩","Начальный Пакет: Арена 6","مجموعة بدء الساحة 6","Pacote de Iniciante Arena 6","6阶竞技场新手礼包","6階競技場入門組合包","میدان نبرد بسته مقدماتی 6","Paket Pemula Arena 6","Pek Permulaan Arena 6"
"TID_SHOP_STARTER_PACK_ARENA_7","Starter Pack Arena 7","Pack de démarrage Arène 7","Starterpaket - Arena 7","Lote de principiante de arena 7","Pacchetto principiante arena 7","Starterspakket arena 7","Startpakke for arena 7","7. Arena Başlangıç Paketi","スターターパック・アリーナ7","아레나 7 초보자 팩","Начальный Пакет: Арена 7","مجموعة بدء الساحة 7","Pacote de Iniciante Arena 7","7阶竞技场新手礼包","7階競技場入門組合包","میدان نبرد بسته مقدماتی 7","Paket Pemula Arena 7","Pek Permulaan Arena 7"
"TID_SHOP_STARTER_PACK_ARENA_8","Starter Pack Arena 8","Pack de démarrage Arène 8","Starterpaket - Arena 8","Lote de principiante de arena 8","Pacchetto principiante arena 8","Starterspakket arena 8","Startpakke for arena 8","8. Arena Başlangıç Paketi","スターターパック・アリーナ8","아레나 8 초보자 팩","Начальный Пакет: Арена 8","مجموعة بدء الساحة 8","Pacote de Iniciante Arena 8","8阶竞技场新手礼包","8階競技場入門組合包","میدان نبرد بسته مقدماتی 8","Paket Pemula Arena 8","Pek Permulaan Arena 8"
"TID_SHOP_STARTER_PACK_ARENA_L","Starter Pack Legendary Arena","Pack de démarrage Arène légendaire","Starterpaket - legendäre Arena","Lote de principiante de arena legendaria","Pacchetto principiante arena leggendaria","Starterspakket legendarische arena","Startpakke for legendarisk arena","Efsanevi Arena Başlangıç Paketi","スターターパック・レジェンドアリーナ","전설 아레나 초보자 팩","Начальный Пакет: Легендарная арена","مجموعة بدء الساحة الأسطورية","Pacote de Iniciante da Arena Lendária","传奇竞技场新手礼包","傳奇競技場入門組合包","میدان نبرد افسانه‌ای","Paket Pemula Arena Legendaris","Pek Permulaan Arena Legenda"
"TID_KING_MAX_LEVEL","Max Level","Niveau maximum","Max. Level","Nivel máximo","Livello massimo","Max. level","Maks nivå","Maks. Seviye","最大レベル","최고 레벨","Макс. уровень","أقصى مستوى","Nível máximo","最高等级","最高等級","سطح حداکثر","Level Maks.","Tahap Maks"
"TID_SHOW_TO_CLAN","Show to your Clan","Montrer au clan","Deinem Clan anzeigen","Mostrar al clan","Mostra al tuo clan","Laten zien aan je clan:","Vis til klanen din","Klanına göster","クランに公開する","클랜에 보여주기","Показать своему клану","إظهار لقبيلتك","Mostrar ao seu clã","部落成员可见","部落成員可見","به قبیله خودت نشون بده","Tunjukkan ke Klanmu","Tunjuk pada Klan anda"
"TID_TOURNAMENT_PRIVATE_PREPARE_END_TIP","Creator can end the 2h preparation anytime.","Le créateur peut mettre fin aux 2 h de préparation à tout moment.","Ersteller kann die 2-stündige Vorbereitung jederzeit beenden.","El creador puede terminar la preparación de 2 h antes de tiempo.","Il creatore può far terminare le 2 ore di preparativi in qualsiasi momento.","De organisator kan de 2 uur voorbereidingstijd op elk moment beëindigen.","Arrangøren kan avslutte den 2 timer lange forberedelsesperioden når som helst.","Kurucu, 2 saatlik hazırlığı istediği zaman sonlandırabilir.","作成者は、2時間の準備時間をいつでも終了させることができます。","생성한 사람은 2시간의 준비 시간을 언제든지 종료할 수 있습니다.","Создатель может завершить 2-х часовую подготовку, когда захочет.","يمكن للصانع إنهاء الاستعداد الذي يمتد لساعتين في أي وقت.","O criador pode encerrar a preparação de 2h a qualquer momento.","创建者可随时结束2小时的准备阶段。","創建者可隨時結束2小時的準備階段。","ایجادکننده می‌تونه هر لحظه 2 ساعت آماده‌سازی رو تموم کنه.","Pembuat dapat mengakhiri persiapan 2j kapan saja.","Pencipta boleh menamatkan persediaan 2j pada bila-bila masa."
"TID_REFUND_CLAIM","Claim","Récupérer","Einfordern","Recoger","Richiedi","Ophalen","Innkasser","Talep et","受け取る","받기","Забрать","مطالبة","Resgatar","领取","領取","مطالبه","Klaim","Tuntut"
"TID_STARTER_PACK_1","Starter Pack 2","Pack de démarrage 2","Starterpaket 2","Lote de principiante 2","Pacchetto principiante 2","Starterspakket 2","Startpakke 2","2. Başlangıç Paketi","スターターパック2","초보자 팩 2","Начальный Пакет 2","مجموعة البدء 2","Pacote de Iniciante 2","新手礼包2","入門組合包2","بسته مقدماتی 2","Paket Pemula 2","Pek Permulaan 2"
"TID_STARTER_PACK_2","Starter Pack 3","Pack de démarrage 3","Starterpaket 3","Lote de principiante 3","Pacchetto principiante 3","Starterspakket 3","Startpakke 3","3. Başlangıç Paketi","スターターパック3","초보자 팩 3","Начальный Пакет 3","مجموعة البدء 3","Pacote de Iniciante 3","新手礼包3","入門組合包3","بسته مقدماتی 3","Paket Pemula 3","Pek Permulaan 3"
"TID_TIME_LIMITED_OFFER_HAS_ENDED","Time limited offer has ended","L'offre à durée limitée a expiré","Zeitlich begrenztes Angebot ist abgelaufen","¡La oferta limitada ha terminado!","L'offerta limitata è terminata","De tijdelijke aanbieding is verlopen","Det tidsbegrensede tilbudet er avsluttet","Sınırlı süreli teklifin süresi geçti","限定提供は終了しました","한정 특가 판매 종료","Ограниченное предложение закончилось","انتهى العرض محدود الوقت","A oferta por tempo limitado expirou.","限时特惠活动已结束","限時特惠活動已結束","پیشنهاد با زمان محدود به پایان رسید","Penawaran waktu terbatas telah berakhir","Tawaran masa terhad telah tamat"
"TID_STARTER_PACK_3","Starter Pack 4","Pack de démarrage 4","Starterpaket 4","Lote de principiante 4","Pacchetto principiante 4","Starterspakket 4","Startpakke 4","4. Başlangıç Paketi","スターターパック4","초보자 팩 4","Начальный Пакет 4","مجموعة البدء 4","Pacote de Iniciante 4","新手礼包4","入門組合包4","بسته مقدماتی 4","Paket Pemula 4","Pek Permulaan 4"
"TID_STARTER_PACK_4","Starter Pack 5","Pack de démarrage 5","Starterpaket 5","Lote de principiante 5","Pacchetto principiante 5","Starterspakket 5","Startpakke 5","5. Başlangıç Paketi","スターターパック5","초보자 팩 5","Начальный Пакет 5","مجموعة البدء 5","Pacote de Iniciante 5","新手礼包5","入門組合包5","بسته مقدماتی 5","Paket Pemula 5","Pek Permulaan 5"
"TID_STARTER_PACK_5","Starter Pack 6","Pack de démarrage 6","Starterpaket 6","Lote de principiante 6","Pacchetto principiante 6","Starterspakket 6","Startpakke 6","6. Başlangıç Paketi","スターターパック6","초보자 팩 6","Начальный Пакет 6","مجموعة البدء 6","Pacote de Iniciante 6","新手礼包6","入門組合包6","بسته مقدماتی 6","Paket Pemula 6","Pek Permulaan 6"
"TID_STARTER_PACK_6","Starter Pack 7","Pack de démarrage 7","Starterpaket 7","Lote de principiante 7","Pacchetto principiante 7","Starterspakket 7","Startpakke 7","7. Başlangıç Paketi","スターターパック7","초보자 팩 7","Начальный Пакет 7","مجموعة البدء 7","Pacote de Iniciante 7","新手礼包7","入門組合包7","بسته مقدماتی 7","Paket Pemula 7","Pek Permulaan 7"
"TID_SPELL_ZAP_FREEZE","Stun","Étourdissement","Betäubung","Aturdir","Stordimento","Verdoven","Svimeslag","Sersemletme","気絶","마비","Оглушение","صعق","Paralisar","眩晕","暈眩","بی حس","Lumpuh","Pegun"
"TID_SHOP_NOTIFICATION_STARTER_PACK","New Special Offer available in the Shop!","Nouvelle offre spéciale disponible dans le magasin !","Neues Sonderangebot im Shop erhältlich!","¡Nueva oferta especial disponible en la tienda!","Nuova offerta speciale disponibile nel negozio!","Nieuwe speciale aanbieding beschikbaar in de winkel!","Nytt spesialtilbud tilgjengelig i butikken!","Yeni Özel Teklif, Dükkanda!","新たに特別セール品がショップに追加されました！","상점에서 새 특가 상품을 판매 중입니다!","Новинка! В магазине доступно специальное предложение!","عرض خاص جديد متوفر في المتجر!","Nova oferta especial disponível na loja!","商店有新的特惠活动啦！","商店有新的特惠活動啦！","پیشنهاد خاص جدید در فروشگاه در دسترس هست!","Penawaran Spesial Baru tersedia di Toko!","Tawaran Istimewa Baharu tersedia di Kedai!"
"TID_SHOP_NOTIFICATION_EPIC_CHEST","Epic Chest available in the Shop!","Coffre épique disponible dans le magasin !","Epische Truhe im Shop erhältlich!","¡Cofre épico disponible en la tienda!","Baule epico disponibile nel negozio!","Epische kist beschikbaar in de winkel!","Episk kiste tilgjengelig i butikken!","Destansı Sandık, Dükkanda!","スーパーレア宝箱がショップに追加されました！","상점에서 영웅 상자를 구매할 수 있습니다!","В магазине появился эпический сундук!","صندوق ممتاز متاح في المتجر!","Baú épico disponível na loja!","商店有史诗宝箱啦！","商店有史詩寶箱啦！","صندوقچه حماسی در فروشگاه در دسترس هست!","Peti Epik tersedia di Toko!","Peti Epik tersedia di Kedai!"
"TID_SHOP_NOTIFICATION_LEGENDARY_CHEST","Legendary Chest available in the Shop!","Coffre légendaire disponible dans le magasin !","Legendäre Truhe im Shop erhältlich!","¡Cofre legendario disponible en la tienda!","Baule leggendario disponibile nel negozio!","Legendarische kist beschikbaar in de winkel!","Legendarisk kiste tilgjengelig i butikken!","Efsanevi Sandık, Dükkanda!","ウルトラレア宝箱がショップに追加されました！","상점에서 전설 상자를 구매할 수 있습니다!","В магазине появился легендарный сундук!","صندوق أسطوري متاح في المتجر!","Baú lendário disponível na loja!","商店有传奇宝箱啦！","商店有傳奇寶箱啦！","صندوقچه افسانه‌ای در فروشگاه در دسترس هست!","Peti Legendaris tersedia di Toko!","Peti Legenda tersedia di Kedai!"
"TID_SHOP_SPECIAL_OFFER_TOOLTIP","Special Offer Available","Offre spéciale disponible","Sonderangebot erhältlich","Oferta especial disponible","Offerta speciale disponibile","Speciale aanbieding beschikbaar","Spesialtilbud tilgjengelig","Özel Teklif Mevcut","特別提供品が購入可能です","특가 상품 판매 중","Появилось специальное предложение","عرض خاص متاح","Oferta especial disponível","特惠活动开始啦！","特惠活動開始啦！","پیشنهاد خاص جدید در دسترس هست","Penawaran Spesial Tersedia","Tawaran Istimewa Tersedia"
"TID_CAPACITY","Capacity","Capacité","Kapazität","Capacidad","Capacità","Capaciteit","Kapasitet","Kapasite","プレイヤー数","수용량","Количество","السعة","Capacidade","最大参赛人数","最大參賽人數","گنجایش","Kapasitas","Kapasiti"
"TID_PREPARATION","Preparation","Préparation","Vorbereitung","Preparación","Preparativi","Voorbereiding","Forberedelse","Hazırlık","準備","준비","Подготовка","الاستعداد","Preparação","准备阶段","準備階段","آماده​سازی","Persiapan","Persediaan"
"TID_DURATION","Duration","Durée","Dauer","Duración","Durata","Duur","Varighet","Süre","時間","지속 시간","Длительность","المدة","Duração","时长","時間","مدت","Durasi","Tempoh"
"TID_SHOP_SPECIAL_OFFER_ARENA_REPEAT","An offer you missed from <arena>","Offre manquée de l'<arena>","In <arena> verpasstes Angebot","Una oferta de <arena> que te perdiste.","Un'offerta riproposta da <arena>","Een <arena>-aanbieding die je hebt gemist","Et tilbud du gikk glipp av fra <arena>","<arena> arenasından kaçırdığın bir teklif","<arena>で取得しなかった特別セール品","<arena>에서 놓친 특가 상품","Пропущенное предложение: <arena>","لقد فوت عرض من <arena>","Você perdeu uma oferta da <arena>.","您错过的<arena>礼包","您錯過的<arena>組合包","پیشنهاد مربوط به <arena> که از دست دادی","Penawaran yang kamu lewatkan dari <arena>","Tawaran yang anda terlepas dari <arena>"
"TID_CHALLENGE_HAS_ENDED","Challenge has ended","Défi terminé","Herausforderung ist zu Ende","¡El desafío ha terminado!","La sfida è terminata!","Uitdaging is afgelopen","Utfordringen er over","Mücadele bitti","チャレンジは終了しました","도전이 종료되었습니다.","Испытание окончено","انتهى التحدي","Desafio encerrado","本次挑战已结束","本次挑戰已結束","مبارزه‌طلبی تموم شده","Tantangan telah berakhir","Cabaran telah tamat"
"TID_LEGENDARIES","Legendaries","Légendaires","Legendäre","Legendarios","Leggendarie","Legendarische","Legendariske","Efsaneviler","ウルトラレア","전설","Легендарные","عناصر أسطورية","Lendárias","传奇卡","傳奇卡","افسانه‌ای","Legendaris","Legenda"
"TID_CHEST_LEGENDARY_CARD_COUNT","x1","x1","x1","x1","x1","1x","x1","1 adet","x1","x1","х1","x1","x1","x1","x1","x1","x1","x1"
"TID_FRIENDS_ONLINE","Friends online: <NUMBER>","Amis en ligne : <NUMBER>","Freunde online: <NUMBER>","Amigos conectados: <NUMBER>","Amici online: <NUMBER>","Vrienden online: <NUMBER>","Venner pålogget: <NUMBER>","Çevrimiçi arkadaşlar: <NUMBER>","オンライン状態のフレンド：<NUMBER>","온라인 친구: <NUMBER>","Друзей в сети: <NUMBER>","الأصدقاء المتصلون: <NUMBER>","Amigos on-line: <NUMBER>","在线好友：<NUMBER>","線上好友：<NUMBER>","دوستان آنلاین: <NUMBER>","Teman online: <NUMBER>","Rakan dalam talian: <NUMBER>"
"TID_LEGENDAARY_CHEST_CONTAIN_ALL_ARENA","Contains a Legendary Card from any Arena!","Contient une carte légendaire de n'importe quelle arène !","Enthält eine legendäre Karte aus einer zufälligen Arena!","¡Contiene una carta legendaria de cualquier arena!","Contiene una carta leggendaria di un'arena qualsiasi!","Bevat een legendarische kaart van een willekeurige arena!","Inneholder et legendarisk kort fra en av arenaene!","Herhangi bir Arenadan bir Efsanevi Kart içerir!","アリーナレベルを問わず、ウルトラレアカードが入っています！","모든 아레나의 전설 카드 중 한 장이 들어있습니다!","Внутри может быть Легендарная карта с любой Арены!","تحتوي على بطاقة أسطورية من أي ساحة!","Contém uma carta lendária de qualquer arena!","藏有一张可能来自任意等级竞技场的传奇卡！","藏有一張可能來自任意等級競技場的傳奇卡！","شامل یک کارت افسانه‌ای از هر میدان نبردی هست!","Berisi Kartu Legendaris dari Arena mana pun!","Mengandungi Kad Legenda dari sebarang Arena!"
"TID_LEGNDARY_SINGLE","Legendary","Légendaire","Legendär","Legendario","Leggendaria","Legendarisch","Legendarisk","Efsanevi","ウルトラレア","전설","Легендарная","أسطوري","Lendária","传奇卡","傳奇卡","افسانه‌ای","Legendaris","Legenda"
"TID_VALUE","VALUE","VALEUR","WERT","VALOR","VALORE","VOORDEEL","VERDI","DEĞERİ","価値","가치","ЦЕННОСТЬ","القيمة","BARGANHA","超值","超值","مقدار","NILAI","NILAI"
"TID_COMMONS_ONLY","Commons only","Communes uniquement","Nur gewöhnliche","Solo comunes","Solo comuni","Alleen gewone","Bare vanlige","Sadece Sıradanlar","ノーマルのみ","일반 한정","Только обычные","عادية فقط","Somente comuns","仅有普通卡","僅有普通卡","فقط موارد عادی","Hanya Umum","Biasa sahaja"
"TID_STARTER_PACK_VALUE_MULTIPLIER","X<MULTIPLIER>","X<MULTIPLIER>","X <MULTIPLIER>","X<MULTIPLIER>","X<MULTIPLIER>","X <MULTIPLIER>","X<MULTIPLIER>","X<MULTIPLIER>","×<MULTIPLIER>","X <MULTIPLIER>","X <MULTIPLIER>","X<MULTIPLIER>","X <MULTIPLIER>","<MULTIPLIER>倍","<MULTIPLIER>倍","X<MULTIPLIER>","X<MULTIPLIER>","X<MULTIPLIER>"
"TID_TYPE_A_TOURNAMENT_TAG","Type a tournament name or tag...","Entrez un nom ou identifiant de tournoi...","Gib den Turniernamen oder das -kürzel ein ...","Escribe el nombre o la etiqueta del torneo...","Digita un nome o una tag del torneo...","Typ een toernooinaam of tag...","Skriv inn et turneringsnavn eller -tagg.","Bir turnuva adı veya etiketi gir...","大会タグか大会名を入力してください...","토너먼트 이름 또는 태그를 입력해 주세요.","Введи тег или название турнира...","اكتب اسم أو شعار البطولة...","Digite um nome ou tag de torneio...","输入锦标赛名称或标签......","輸入聯賽名稱或標籤......","نام یک مسابقه یا برچسب رو تایپ کن...","Ketik nama atau tag turnamen...","Taipkan nama atau tag pertandingan..."
"TID_HINT_CHEST_EPIC","Epic Chests can be won from battle, but they're incredibly rare!","Les combats peuvent rapporter des coffres épiques, mais ils sont extrêmement rares !","Epische Truhen können im Kampf gewonnen werden - aber sie sind ungemein selten!","Los cofres épicos se pueden obtener en las batallas, ¡pero es dificilísimo encontrarlos!","Puoi vincere bauli epici in battaglia, ma sono incredibilmente rari!","Je kunt epische kisten winnen in gevechten, maar ze zijn uitzonderlijk zeldzaam!","Du kan vinne episke kister i kamp, men de er ekstremt sjeldne!","Destansı Sandıklar savaşlardan kazanılır ancak son derece enderdirler!","スーパーレア宝箱はバトルで手に入ることも\nありますが、滅多に手に入りません！","전투에서 영웅 상자를 얻을 수는 있지만 확률이 극단적으로 낮습니다!","Эпический сундук можно выиграть в бою, но они очень редкие!","يمكن ربح الصناديق الممتازة من المعارك، لكنها نادرة للغاية!","Os baús épicos podem ser obtidos em batalhas, mas são extremamente raros!","您可以在对战中赢取史诗宝箱，但这种宝箱非常罕见！\n关注官方微信服务号cr-kefu和订阅号crsupercell","您可以在對戰中贏取史詩寶箱，但這種寶箱非常罕見！","صندوقچه‌های حماسی رو می‌تونی از طریق نبرد به دست بیاری، اما به طرز شگفت‌آوری نایاب هستند!","Peti Epik dapat dimenangkan dari pertempuran, tetapi sangat langka!","Peti Epik boleh dimenangi daripada pertempuran, tetapi sangat jarang!"
"TID_HINT_GRAVEYARD","The Graveyard spell starts a surprise Skeleton party anywhere in the Arena. Yay!","Le sort du cimetière déclenche une fête surprise des squelettes n'importe où dans l'arène. Youpi !","Der Friedhofzauber startet an einer beliebigen Stelle in der Arena eine Überraschungsparty mit Skeletten! Juhu!","El hechizo de cementerio libera a un grupo de esqueletos en cualquier lugar de la arena. ¡Fiesta!","L'incantesimo Cimitero organizza una festa a sorpresa di scheletri in un punto qualsiasi dell'arena. Evviva!","Met de kerkhofspreuk wordt er op een willekeurige plek in de arena een skeletfeestje gevierd! Jippie!","Gravplassformelen starter en overraskende skjelettfest over hele arenaen. Jippi!","Mezarlık büyüsü Arena'nın herhangi bir yerinde sürpriz bir İskelet partisi başlatır. Oley!","スケルトンラッシュの呪文を使うと、アリーナのあらゆる場所でスケルトンのパーティーを開催できます。イェーイ！","무덤 마법을 사용하면 아레나 어디에서든 해골 파티를 열 수 있습니다!","Заклинание «Кладбище» запускает вечеринку скелетов в любом месте Арены. Круть!","تبدأ تعويذة المقبرة بحفل مفاجئ للهيكل العظمي في أي مكان بالساحة. مرحى!","O Cemitério faz uma festa de Esqueletos em qualquer lugar da arena! Oba!","使用骷髅召唤可在竞技场中任意地点举办一场令人意想不到的骷髅派对，哇哦！","使用骷髏召喚可在競技場中任意地點舉辦一場令人意想不到的骷髏派對，耶！","طلسم قبرستان یک جشن اسکلتی شگفت‌آور رو در هر جایی از این ناحیه شروع می‌کنه. عالیه!","Mantra Kuburan memulai pesta Jerangkong kejutan di mana saja di Arena. Hore!","Sihir Tanah Perkuburan memulakan parti Rangka mengejutkan di mana-mana dalam Arena. Yeay!"
"TID_NOTIFICATION_CARD_RELEASE","New card released! <CARD_NAME> now available.","Nouvelle carte à découvrir ! <CARD_NAME> désormais disponible.","Neue Karte veröffentlicht! <CARD_NAME> ist jetzt verfügbar.","¡Nueva carta! Ya disponible: <CARD_NAME>.","Rilasciata nuova carta! <CARD_NAME> è ora disponibile.","Nieuwe kaart uitgebracht! Nu beschikbaar: <CARD_NAME>","Nytt kort sluppet! <CARD_NAME> er nå tilgjengelig.","Yeni kart çıktı! <CARD_NAME> şimdi kullanılabilir.","新カードが追加されました！ <CARD_NAME>が入手可能です。","새 카드 공개! 이제 <CARD_NAME> 카드 획득이 가능합니다.","Доступна новая карта! <CARD_NAME> уже в игре, попробуй!","تم إصدار بطاقة جديدة! <CARD_NAME>متاحة الآن.","Nova carta lançada! <CARD_NAME> agora está disponível!","有新卡牌了！<CARD_NAME>现已推出。","有新卡牌了！<CARD_NAME>現已推出。","کارت جدید آزاد شد! <CARD_NAME> الآن در دسترسه.","Kartu baru dirilis! <CARD_NAME> kini tersedia.","Kad baharu dikeluarkan! <CARD_NAME> kini tersedia."
"TID_SUPPORT_PRODUCT_RED","Support (PRODUCT)RED™","Soutenez (PRODUCT)RED™","(PRODUCT)RED™ unterstützen","Colabora con (PRODUCT)RED™","Sostieni (PRODUCT)RED™","Steun PRODUCT(RED)™","Støtt (PRODUCT)RED™","(PRODUCT)RED™'i Destekle","(PRODUCT)RED™を支援しましょう","(PRODUCT)RED™ 지원","Поддержите (PRODUCT)RED™","ادعم (PRODUCT)RED™","Ajude a (PRODUCT)RED™","支持 (PRODUCT)RED™","支持 (PRODUCT)RED™","پشتیبانی (محصول)™RED","Dukung (PRODUCT)RED™","SOKONGAN (PRODUCT)RED™"
"TID_PLAY_RED_GIVE_LIFE","Play (RED). Give Life.","Jouez avec (RED). Donnez de la vie.","Spiel mit (RED). Rette Leben.","Apoya a (RED) y da vida.","Gioca con (RED). Dona la vita.","Speel (RED). Schenk levens.","Spill (RED). Gi liv.","(RED) Oyna. Can Ver.","(RED)でプレイして命を救おう。","(RED)를 플레이하고 생명을 살리세요.","Играй с (RED). Дари жизнь.","العب (RED). امنح الحياة.","Jogue com a (RED). Dê vida.","支持(RED)，以爱抗艾","支持(RED)，以愛抗愛","بازی کن (سرخ). زندگی ببخش.","Mainkan (RED). Berikan Nyawa.","Bermain (RED). Berikan Nyawa."
"TID_PRODUCT_RED_BOUGHT_SUCCESSFULLY_1","(HERO PACK)RED Purchase Successful","(PACK HÉROS)RED : achat réussi","Kauf von (HELDENPAKET)RED erfolgreich","Compra de (LOTE DE HÉROE)RED realizada","(PACCHETTO EROE)RED: acquisto effettuato","(HELDENPAKKET)RED gekocht","Du har kjøpt (HELTEPAKKE)RED","(KAHRAMAN PAKETİ)RED Satın Alımı Başarılı Oldu","(ヒーローパック)REDを購入しました","(영웅 팩)RED 구매 성공","(ГЕРОЙСКИЙ НАБОР)RED успешно приобретен","(حزمة البطل)RED تم الشراء بنجاح","(PACOTE DE HERÓI)RED comprado","成功购买(英雄礼包)RED","成功購買(英雄組合包)RED","(دست قهرمان) خرید RED موفق بود","Pembelian (PAKET PAHLAWAN)RED Berhasil","Pembelian (PEK WIRA)RED Berjaya"
"TID_PRODUCT_RED_BOUGHT_SUCCESSFULLY_2","(GEM PACK)RED Purchase Successful","(PACK DE GEMMES)RED : achat réussi","Kauf von (JUWELENPAKET)RED erfolgreich","Compra de (LOTE DE GEMAS)RED realizada","(PACCHETTO GEMME)RED: acquisto effettuato","(EDELSTEENPAKKET)RED gekocht","Du har kjøpt (JUVELPAKKE)RED","(TAŞ PAKETİ)RED Satın Alımı Başarılı Oldu","(エメラルドパック)REDを購入しました","(보석 팩)RED 구매 성공","(НАБОР КРИСТАЛЛОВ)RED успешно приобретен","(حزمة جواهر)RED تم الشراء بنجاح","(PACOTE DE GEMA)RED comprado","成功购买(宝石礼包)RED","成功購買(寶石組合包)RED","(بسته جواهر) خرید RED موفق بود","Pembelian (PAKET PERMATA)RED Berhasil","Pembelian (PEK PERMATA)RED Berjaya"
"TID_LEVEL_CHANGES","Level Changes!","Modifications des niveaux !","Leveländerungen!","¡Cambios en los niveles!","Cambiamenti nei livelli!","Levelwijzigingen!","Nivåendringer!","Seviye Değişiklikleri!","レベルの変更！","레벨 변경!","Появились новые уровни!","تعديلات المستوى!","Alterações de níveis!","等级调整！","等級調整！","تغییرات سطح!","Perubahan Level!","Tahap Berubah!"
